"Objeto del Gasto","Auxiliar","Denominación","Desc. Larga"
"513","001","Asistencia financiera a retirados militares","Partida asignada en el Inciso 22 ""Transferencias financieras al  Sector Seguridad social"", UE 022 por Ley de Presupuesto 19355 de 19/12/2015, para atender las insuficiencias financieras de los Organismos de Previsión Social según el  A47 L14550 de 10/08/1976 y las insuficiencias por aportes o asistencia financiera a Retirados Militares serán de cargo de RRGG de acuerdo al A184 i3) L15809 de 8/04/1986."
"513","002","Asistencia financiera al Banco de Previsión Social","Partida asignada en el Inciso 22 ""Transferencias financieras al  Sector Seguridad social"", UE 022 por Ley de Presupuesto 19355 de 19/12/2015, para atender las insuficiencias financieras de los Organismos de Previsión Social según el  A47 L14550 de 10/08/1976 (BPS)."
"513","003","Asistencia financiera a retirados policiales","Partida asignada en el Inciso 22 ""Transferencias financieras al  Sector Seguridad social"", UE 022 por Ley de Presupuesto 19355 de 19/12/2015, para atender las insuficiencias financieras de los Organismos de Previsión Social según el  A47 L14550 de 10/08/1976 (Retirados Policiales)."
"513","006","Asistencia financiera pre-jubilados B.P.S.","Partida asignada en el Inciso 22 ""Transferencias financieras al  Sector Seguridad social"", UE 025 ""ANEP"" por Ley de Presupuesto 19355 de 19/12/2015, por aportes o asistencia financiera a pre-jubilados BPS de personal docente. Ley 11021 del 05/01/1948, de Beneficios Jubilatorios Docentes."
"513","007","Asistencia financiera pre-jubilados policiales","Partida asignada en el Inciso 22 ""Transferencias financieras al  Sector Seguridad social"", UE 004 ""Ministerio del Inteior"" por Ley de Presupuesto 19355 de 19/12/2015, por aportes o asistencia financiera a pre-jubilados Policiales, y cuando exista necesidad de crédito se dará según lo establecido por el A125 L14106 del 14/03/1973 y Dto 75/972 del 1/2/1972."
"513","008","Asistencia financiera a jubilados reincorporados del MDN","Partida asignada en el Inciso 22 ""Transferencias financieras al  Sector Seguridad social"", UE 003 ""Ministerio de Defensa Nacional"" por Ley de Presupuesto 19355 de 19/12/2015, por aportes o asistencia financiera a jubilados reincorporados, de acuerdo a lo previsto por el A23 L.12587 de 23/12/1958 (cambio de afiliación de civil a militar). Res.76-161 24/12/97."
"513","009","Sistema de regulación Jub. y Pens. Magistrados Judiciales","Partida asignada en el Inciso 22 ""Transferencias financieras al  Sector Seguridad social"", UE 022 por Ley de Presupuesto 19355 de 19/12/2015. El A145 de la L.17738 de 7/01/2004 regula  las Jub. y Pens.de Magistrados Judiciales y otros funcionarios. La pasividad será de cargo de RRGG y dicho importe se compensará con las versiones que la Caja le deba efectuar al Estado por los tributos que recauda. Por Asunto 21/004 de ATJ se asigna objeto específico. A.6 inc.3 del Dto.413/004 17/11/2004."
"513","011","Caja Bancaria - Rentas Afectadas","Codifica aportes o asistencia financiera a la Caja Bancaria. Objeto del Gasto asignado en el Inciso 22 ""Transferencias financieras al  Sector Seguridad social""  UE 022, de carácter estimativo, por Ley de Presupuesto 19355 de 19/12/2015. No se ejecutó el crédito asignado en el ejercicio 2015 y se disminuyó por ajuste de cierre de Balance."
"513","012","Banco de Previsión Social - Rentas Afectadas","Partida asignada en el Inciso 22 ""Transferencias financieras al  Sector Seguridad social"", UE 022 por Ley de Presupuesto 19355 de 19/12/2015, por concepto de afectaciónes  de varios impuestos y tasas: 2% pasividades SMN>6, L17502 A5 29/05/2002, A1 Dto 270/004 lit.b) e IVA. (Recaudación por IASS, 7 ptos de IVA y DNLQ a BPS).
En 2020 L.19.874  Destino BPS"
"513","015","Caja Militar- Situación de retiro p/motivos políticos","Partida asignada en el Inciso 22 ""Transferencias financieras al  Sector Seguridad social"", UE 022 por Ley de Presupuesto 19355 de 19/12/2015. El A6 de la L17949 de 8/01/2006 modifica el haber de retiro del personal que se encontraba en situación de retiro por motivos políticos e ideológicos previstos en el Art. 1º de la misma ley. El A14 establece que las erogaciones resultantes serán de cargo de RRGG."
"513","016","Caja Militar- Incremento 25% en situación de retiro","Partida asignada en el Inciso 22 ""Transferencias financieras al  Sector Seguridad social"", UE 022 por Ley de Presupuesto 19355 de 19/12/2015. El A6 L.17949 de 8/01/2006 incrementa en un 25% el haber de retiro del personal por motivos políticos e ideológicos previstos en el art.1º de la misma ley. El A14 establece que las erogaciones resultantes serán de cargo de RRGG."
"513","018","Caja Profesional Universitarios - Rentas Afectadas","Codifica aportes o asistencia financiera a la Caja de Jubilaciones y Pensiones de Profesionales Universitarios. Objeto del Gasto asignado en el Inciso 22 ""Transferencias Financieras al Sector Seguridad Social"" UE 022, por Ley de Presupuesto 19355 de 19/12/2015. En aplicación del Art.1 y 109 L18083 (Reforma Tributaria) de 27/12/2006 (afectaciones de tributos compensados) se asigna crédito por este concepto con cargo a RRGG."
"513","019","Rentas Afectadas BPS por COFIS","Partida asignada en el Inciso 22 ""Transferencias financieras al  Sector Seguridad social"", UE 022 por Ley de Presupuesto 19355 de 19/12/2015, por concepto de afectaciones de tributos compensados (COFIS), en aplicación del Art.1 y 109 L18083 (Reforma Tributaria) de 27/12/2006 se asigna crédito por este concepto con cargo a RRGG."
"513","020","Caja Jubilaciones y Pensiones Bancarias- RRGG","Codifica aportes o asistencia financiera a la Caja de Jubilaciones y Pensiones Bancarias. Objeto del Gasto asignado en el Inciso 22 ""Transferencias Financieras al Sector Seguridad Social"" UE 022, por Ley de Presupuesto 19355 de 19/12/2015. En aplicación del Art.34 L.18396 de 24/10/2008 (A cargo de RRGG). Por Nota de División Contabilidad de fecha 17/08/2009 se habilitó Objeto del Gasto específico.
"
"513","021","Asistencia financiera Industria Frigorífica B.P.S.","Partida asignada en el Inciso 22 ""Transferencias financieras al  Sector Seguridad social"", UE 022 por Ley de Presupuesto 19355 de 19/12/2015, por aporte o asistencia financiera al BPS por los gastos generados por concepto de jubilaciones a ex-trabajadores de la Industria Frigorífica de acuerdo a la  L.18310 de 18/06/2008, con cargo a RR.GG. según el A9. Inciso 22. Nota de División Contabilidad de fecha 30/09/2009.
"
"513","022","Subsidio por enfermedad","Partida asignada en el Inciso 22 ""Transferencias financieras al  Sector Seguridad social"", UE 022 por Ley de Presupuesto 19355 de 19/12/2015, por concepto de Subsidio por Enfermedad, de acuerdo al A82 L.18396 de 24/10/2008. Inciso 22. Nota de División Contabilidad de fecha 22/12/2009."
"513","023","Prestaciones complementarias de salud","Partida asignada en el Inciso 22 ""Transferencias financieras al  Sector Seguridad social"", UE 022 por Ley de Presupuesto 19355 de 19/12/2015, por concepto de Prestaciones Complementaris de Salud, de acuerdo al A82 L.18396 de 24/10/2008. Nota de División Contabilidad de fecha 22/12/2009."
"513","024","Subsidio por desempleo","Partida asignada en el Inciso 22 ""Transferencias financieras al  Sector Seguridad social"", UE 022 por Ley de Presupuesto 19355 de 19/12/2015, por concepto de Subsidio por Desempleo, de acuerdo al A67 de la L18396 de 24/10/2008. Nota de División Contabilidad de fecha 22/12/2009."
"513","025","Pensiones reparatorias","Partida asignada en el Inciso 22 ""Transferencias financieras al  Sector Seguridad social"", UE 022 por Ley de Presupuesto 19355 de 19/12/2015, por Asistencia al BPS por concepto de Pesiones Reparatorias según lo establecido en las L17449 (9/02/1973 a 01/03/1985) y L18033, y con cargo a RR.GG."
"513","026","Reparación a familiares por violencia doméstica","Partida asignada en el Inciso 22 ""Transferencias financieras al  Sector Seguridad social"", UE 022 por Ley de Presupuesto 19355 de 19/12/2015, por concepto Reparación a a hijos de personas fallecidas por Violencia Doméstica según Ley 18850 de 16/12/2011 (A3 y sgtes), y con cargo a RR.GG, a través del BPS."
"513","027","Transferencia gastos de comisión p/admin. fideicomiso BPS","Art. 24 Ley 19590 de 28/12/2017 Dto 71/018 del 23/3/2018 - (Desafiliación del régimen de jubilación por ahorro individual obligatorio). El art. 24, se refiere a los gastos que la aplicación de la presente ley generare al Bco de Prev. Social, serán atendidos por Rentas Generales, si fuere necesario.Art 9 Encomiénda al Banco de Previsión Social (BPS) en carácter de fideicomitente, a celebrar un contrato de fideicomiso de administración ""Fideicomiso de la Seguridad Social""."
"513","028","Asistencia financiera Administración Central - deuda BPS ","Art.335 L 18.172 Autoriza al MEF cancelar deuda BPS periodo dic 06 a feb.07 por 1.102.049 URsegun detalle (Ver ley).Si hay otras obligaciones impagas p/Administración Central anteriores a la fecha indicada, q/no se incluyen en el importe cuya cancelación se autoriza por el inciso precedente, una vez comunicadas por el BPSal Inciso correspon. y a aprobación por parte del MEF, las mismas se cancelarán con cargo a las transferencias de Rentas Generales al BPS por concepto de asistencia financiera."
"513","029","Asistencia financiera BPS por baja recaudación COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"513","030","A BPS por gastos en seguridad social COVID-19","Codifica la regularización de gastos realizados por los inciso en virtud de la Pandemia del COVID-19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"513","031","Aportes FONASA por subsidio desempleo y enfermedad COVID-19","Corresponden a lo que BPS paga a FONASA por los aportes patronales y personales de los subsidios por desempleo y enfermedad.
en el marco de la emergencia sanitaria por el COVID-19"
"513","032","Asistencia financiera FONASA por baja recaudación COVID-19","Asistencia pura por baja en recaudación"
"513","033","Prestadores de Salud - Convenio 2020-2022","Art. 314 Ley 19996. Asignase en el Inc. 24 UE 024, Prog 440 FF 11, una partida por única vez de $96.000.000, destinada a los Prestadores Integrales de Salud. El MEF determinará la forma de distribución y el monto a transferir a cada prestador."
"513","034","Asistencia financiera a BPS - Programa Ibirapitá","Art.762 L.19924 transfiere las competencias desde el Centro Ceibal del Programa Ibirapitá al BPS"
"513","035","Subsidio Asistencia a la Vejez","Art 309 ley 19996 establece un Subsidio a la vejez que será pago por BPS con los fondos que le transfiera el MEF. Asistencia financiera con cargo al Inciso 22"
"513","036","Agencia Reguladora de la Seguridad Social"," Art 236 L. 20130 crea la Agencia Reguladora de la Seguridad Social como servicio descentralizado.
Art 553 L.20212 reasigna la partida dispuesta en el art.313 L.19996 a este servicio."
"513","037","Regularización anticipos Caja Militar","A. 2 y A.259 L.20130. Se establece una compensación por la reducción de ingresos asociada a la transición hacia el régimen mixto previsto por la Ley. El BPS informará mensualmente los montos recibidos de cada una de las entidades.Con la información se realizarán anticipos mensuales a cada una de las Cajas Paraestatales, que serán regularizados en este objeto."
"513","038","Regularización anticipos Caja Policial","Art.2 y Art .259 L.20130. Se establece una compensación por la reducción de ingresos asociada a la transición hacia el régimen mixto previsto por la Ley. El BPS informará mensualmente los montos recibidos de cada una de las entidades.Con la información se realizarán anticipos mensuales a cada una de las Cajas Paraestatales, que serán regularizados en este objeto."
"513","039","Asistencia Financiera a BPS Suplemento Solidario     ","Ley 20130 art 193"
"513","040","Asistencia Financiera BPS Sector Educación","Ley 20130 Art 211.L12802 A.134,Constitución A.69,Ley 12276 A38, Ley16462 A.274, Ley16226 A 395, 448 y 449, Ley 13586 A.76,R.D 38-30/98 (4/11/98), Ley 15800 A.23, Ley 16320 A.429"
"513","041","Asistencia Financiera BPS Sector cultura","Ley 20130 Art.211.Ley 12802 A.134, Constitución A.69, Ley 12276 A.38, Ley 16462 A.274, Ley 16320 A.441.
"
"513","042","Asistencia Financiera BPS Sector salud","Ley 20130 Art.211, Ley 14057 A.57
"
"513","043","Asistencia Financiera BPS Sector deporte y recreación","Ley 20130 Art.211.Ley 12802 A.134, Constitución A.69, Ley 12276 A.38, R.D 40 del 11/95 (25/10/1995)
"
"513","044","Asistencia Financiera BPS Sector sindical y gremial","Ley 20130 Art.211.Ley 12802 A.134, Ley 13892 A.517
"
"513","045","Asistencia Financiera BPS Sector transporte","Ley 20130 Art.211.Ley 17345 A.19, Decreto 200/01 A.1
"
"513","046","Asistencia Financiera BPS Sector instituciones religiosas","Ley 20130 Art.211.Ley 12802 A.134, Constitución A.5
"
"513","047","Asistencia Financiera BPS Sector rural","Ley 20130 Art.211,Ley 12802 A0134, Constitución A.69, Ley 16462 A 253, RD 43 120/93 (01/12/93)
"
"513","048","Asistencia Financiera BPS Sector construcción","Ley 20130 Art.211, Ley 14872
"
"513","049","Asistencia Financiera BPS Sector comunicación","Ley 20130 Art.211, Ley 16170 A.617
"
"513","050","Asist Fin BPS Organismos Internacionales y Binacionales","Ley 20130 Art.211
"
"513","051","Asistencia Financiera BPS Obra Pública","Ley 20130 Art.211
"
"513","052","Asistencia Financiera BPS Cooperativas","Ley 20130 Art.211, Ley 13481,Ley 15645 A.48, RD 12-25/93 (14/04/93), RD 30-42/92 (5/08/92), Decreto 556/85, Ley 14019
"
"513","053","Asistencia Financiera BPS Partidos Políticos","Ley 20130 Art.211, Ley 12802 A134, Ley 14057 A.91
"
"513","054","Asistencia Financiera BPS Promoción Industrial","Ley 20130 Art.211, Decreto 303/79 A.1 RD 31-21/97 (10/09/97), Ley 12802 A.134, Decreto 38/97 Res P.E 20/01/80, Ley 15903 A.141, Ley 19993 A.1 y 2
"
"513","055","Asistencia Financiera BPS PYMES","Ley 20130 Art.211, Ley 17426, Ley 15903 A.141
"
"513","056","Asistencia Financiera BPS Organismos Seguridad Social","Ley 20130 Art.211, Ley 12997 A.4, Ley 15611 A.4, Decreto 305/89 A.3
"
"513","057","Asistencia Financiera BPS Inclusión Social","Ley 20130 Art.211.Ley 15851 A.200, Ley 16170 A.617
"
"513","058","Asistencia Fin. BPS Sector científico y de investigación","Ley 20130 Art.211
"
"513","059","Asistencia Financiera BPS Otros ","Ley 20130 Art.211,Ley 15294 A.25
"
"513","060","Compensación por régimen de aportación rural","Ley 20130 Art 212 BPS recibirá una compensación con cargo a RG, por el equivalente a la recaudación existente entre el régimen de aportación del sector rural L.15852 y el régimen de tributación de industria y comercio"
"513","061","Subsidio por desempleo Caja Bancaria - Bca Privada","Ley 18369 Art 67 2) en la redacción dada por la ley N° 20208 Art 1
Beneficio de subsidio por desempleo a la Banca Privada"
"513","062","Fondo Insolvencia Casa de Galicia","Creación en BPS del Fondo especial para el pago de créditos laborales de la ex Casa de Galicia. Se nutre por hasta 54.700.000 UI desde Rentas Generales.
Art. 1 Ley Nº 20.226"
"514","000","A Gobiernos Departamentales","Clasifica los aportes a los Gobiernos Departamentales para gastos corrientes por Ley de Presupuesto 19355 de 19/12/2015, se asignó al Inciso24, UE 002, proyectos de inversión 994, 998 y 999 que transfieren a las Intendencias por concepto de mantenimiento de caminería departamental y red vial y caminería subnacional. Y Proyectos 960 para el Prog.de Desarrollo y Gestión Subnac. y A674 L19355 19/12/2015 y 990 para el Fdo. Desarrollo del Interior."
"514","021","Ayuda alimentaria a comedores públicos y escolares","Codifica la ayuda alimentaria que recibe el Instituto Nacional de Alimetación =UE 003, en el Inciso 15 ""Ministerio de Desarrollo y Seguridad Social"" , para los comedores públicos y escolares en víveres frescos y comestibles."
"514","022","A Gobiernos Departamentales - Artigas","Partida asignada en el Inciso 24 ""Diversos Créditos"", UE 002 ""Presidencia de la República"" destinada a cada Gobierno Departamental del Interior de la República, de acuerdo a los porcentajes establecidos para cada Departamento, en el A674 lit.D) L19355 19/12/2005, de la partida resultante del A673 de la citada Ley (OG 514 079)."
"514","023","A Gobiernos Departamentales Canelones","Partida asignada en el Inciso 24 ""Diversos Créditos"", UE 002 ""Presidencia de la República"" destinada a cada Gobierno Departamental del Interior de la República, de acuerdo a los porcentajes establecidos para cada Departamento, en el A674 lit.D) L19355 19/12/2005, de la partida resultante del A673 de la citada Ley (OG 514 079)."
"514","024","A Gobiernos Departamentales Cerro Largo","Partida asignada en el Inciso 24 ""Diversos Créditos"", UE 002 ""Presidencia de la República"" destinada a cada Gobierno Departamental del Interior de la República, de acuerdo a los porcentajes establecidos para cada Departamento, en el A674 lit.D) L19355 19/12/2005, de la partida resultante del A673 de la citada Ley (OG 514 079)."
"514","025","A Gobiernos Departamentales Colonia","Partida asignada en el Inciso 24 ""Diversos Créditos"", UE 002 ""Presidencia de la República"" destinada a cada Gobierno Departamental del Interior de la República, de acuerdo a los porcentajes establecidos para cada Departamento, en el A674 lit.D) L19355 19/12/2005, de la partida resultante del A673 de la citada Ley (OG 514 079)."
"514","026","A Gobiernos Departamentales Durazno","Partida asignada en el Inciso 24 ""Diversos Créditos"", UE 002 ""Presidencia de la República"" destinada a cada Gobierno Departamental del Interior de la República, de acuerdo a los porcentajes establecidos para cada Departamento, en el A674 lit.D) L19355 19/12/2005, de la partida resultante del A673 de la citada Ley (OG 514 079)."
"514","027","A Gobiernos Departamentales Flores","Partida asignada en el Inciso 24 ""Diversos Créditos"", UE 002 ""Presidencia de la República"" destinada a cada Gobierno Departamental del Interior de la República, de acuerdo a los porcentajes establecidos para cada Departamento, en el A674 lit.D) L19355 19/12/2005, de la partida resultante del A673 de la citada Ley (OG 514 079)."
"514","028","A Gobiernos Departamentales Florida","Partida asignada en el Inciso 24 ""Diversos Créditos"", UE 002 ""Presidencia de la República"" destinada a cada Gobierno Departamental del Interior de la República, de acuerdo a los porcentajes establecidos para cada Departamento, en el A674 lit.D) L19355 19/12/2005, de la partida resultante del A673 de la citada Ley (OG 514 079)."
"514","029","A Gobiernos Departamentales Lavalleja","Partida asignada en el Inciso 24 ""Diversos Créditos"", UE 002 ""Presidencia de la República"" destinada a cada Gobierno Departamental del Interior de la República, de acuerdo a los porcentajes establecidos para cada Departamento, en el A674 lit.D) L19355 19/12/2005, de la partida resultante del A673 de la citada Ley (OG 514 079)."
"514","030","A Gobiernos Departamentales Maldonado","Partida asignada en el Inciso 24 ""Diversos Créditos"", UE 002 ""Presidencia de la República"" destinada a cada Gobierno Departamental del Interior de la República, de acuerdo a los porcentajes establecidos para cada Departamento, en el A674 lit.D) L19355 19/12/2005, de la partida resultante del A673 de la citada Ley (OG 514 079)."
"514","031","A Gobiernos Departamentales Paysandú","Partida asignada en el Inciso 24 ""Diversos Créditos"", UE 002 ""Presidencia de la República"" destinada a cada Gobierno Departamental del Interior de la República, de acuerdo a los porcentajes establecidos para cada Departamento, en el A674 lit.D) L19355 19/12/2005, de la partida resultante del A673 de la citada Ley (OG 514 079)."
"514","032","A Gobiernos Departamentales Río Negro","Partida asignada en el Inciso 24 ""Diversos Créditos"", UE 002 ""Presidencia de la República"" destinada a cada Gobierno Departamental del Interior de la República, de acuerdo a los porcentajes establecidos para cada Departamento, en el A674 lit.D) L19355 19/12/2005, de la partida resultante del A673 de la citada Ley (OG 514 079)."
"514","033","A Gobiernos Departamentales Rivera","Partida asignada en el Inciso 24 ""Diversos Créditos"", UE 002 ""Presidencia de la República"" destinada a cada Gobierno Departamental del Interior de la República, de acuerdo a los porcentajes establecidos para cada Departamento, en el A674 lit.D) L19355 19/12/2005, de la partida resultante del A673 de la citada Ley (OG 514 079)."
"514","034","A Gobiernos Departamentales Rocha","Partida asignada en el Inciso 24 ""Diversos Créditos"", UE 002 ""Presidencia de la República"" destinada a cada Gobierno Departamental del Interior de la República, de acuerdo a los porcentajes establecidos para cada Departamento, en el A674 lit.D) L19355 19/12/2005, de la partida resultante del A673 de la citada Ley (OG 514 079)."
"514","035","A Gobiernos Departamentales Salto","Partida asignada en el Inciso 24 ""Diversos Créditos"", UE 002 ""Presidencia de la República"" destinada a cada Gobierno Departamental del Interior de la República, de acuerdo a los porcentajes establecidos para cada Departamento, en el A674 lit.D) L19355 19/12/2005, de la partida resultante del A673 de la citada Ley (OG 514 079)."
"514","036","A Gobiernos Departamentales San José","Partida asignada en el Inciso 24 ""Diversos Créditos"", UE 002 ""Presidencia de la República"" destinada a cada Gobierno Departamental del Interior de la República, de acuerdo a los porcentajes establecidos para cada Departamento, en el A674 lit.D) L19355 19/12/2005, de la partida resultante del A673 de la citada Ley (OG 514 079)."
"514","037","A Gobiernos Departamentales Soriano","Partida asignada en el Inciso 24 ""Diversos Créditos"", UE 002 ""Presidencia de la República"" destinada a cada Gobierno Departamental del Interior de la República, de acuerdo a los porcentajes establecidos para cada Departamento, en el A674 lit.D) L19355 19/12/2005, de la partida resultante del A673 de la citada Ley (OG 514 079)."
"514","038","A Gobiernos Departamentales Tacuarembó","Partida asignada en el Inciso 24 ""Diversos Créditos"", UE 002 ""Presidencia de la República"" destinada a cada Gobierno Departamental del Interior de la República, de acuerdo a los porcentajes establecidos para cada Departamento, en el A674 lit.D) L19355 19/12/2005, de la partida resultante del A673 de la citada Ley (OG 514 079)."
"514","039","A Gobiernos Departamentales Treinta y Tres","Partida asignada en el Inciso 24 ""Diversos Créditos"", UE 002 ""Presidencia de la República"" destinada a cada Gobierno Departamental del Interior de la República, de acuerdo a los porcentajes establecidos para cada Departamento, en el A674 lit.D) L19355 19/12/2005, de la partida resultante del A673 de la citada Ley (OG 514 079)."
"514","040","A Gobiernos Departamentales Montevideo","Partida destinada al Gobierno Departamental de Montevideo de acuerdo a los literales A,B y C del A674 L19355 del 19/12/2005, con la partida del A673 OG (514 079): a) 12,90% para aportes patronales y personales del BPS(Montevideo), b) Programa de Mantenimiento de la Red Vial Departamental (Inc.024.002 Pry 999 y c) Programa de Desarrollo y Gestión Subnacional (Inc.24.002 Pry 960)."
"514","077","Sistema Único de Cobro de Ingresos Vehiculares","El A10 L18860 - Dto Reg.N° 47/12 MEF transfiere al fdo con cargo a RRGG las sumas necesarias para cubrir lo efectivamente recaudado por concepto de Patente de Rodado valores 2010 (2012-2015) El A.680 L19355 19/12/2015 dicta montos a valores 2015 (2016-2019) y cambia la denominación, de Fdo Nal Unif.Trib.de Pat.Rodado a Sistema Unico de Cobro de Ingresos Vehiculares. Inciso 24""Diversos Créditos"", UE 024 ""Direc. Gral de Secretaria MEF"". En 2018 por EyO se cambia TC de 4 a 0."
"514","079","Partida anual a Gobiernos Departamentales - funcionamiento","Partida anual asignada al Inciso 24""Diversos Créditos"", UE 024""D.G.S.MEF"", que resulta del 3,33% sobre el monto total de los recursos del Presupuesto Nacional para los Gobiernos Departamentales ( lit.C) A214 de la Constitución ), transferida en la medida en que se cumplan las metas que emerjan de compromisos de gestión que los Gobiernos Departamentales suscribirán en el marco de la Comisión Sectorial de Descentralización, previo informe de la OPP. A673-676 L19355 del 19/12/2005."
"514","080","Partida P.E. por Alumbrado Público a Gobiernos Dtales","P.E. asume facturación que realice UTE por concepto de alumbrado público, determinado porcentaje, al amparo del A337 L18172 (ejerc 2008-2009). Por A12 L18860 11/01/2012(idem para ejerc. 2012 a 2014). El A679 L19355 19/12/2015 deroga A12 L18860 y sustituye créditos por partida anual que será distribuida entre Gobs.Departamentales (criterios Comisión Sectorial en lit. B) A230 Constitución República)  y en base acuerdos con UTE. Asignada en el Inc.24.""Diversos Créditos UE 024 (Dir.Gal.Secret.MEF"")"
"514","081","Fondo de Incentivo para Gestión de Municipios - Lit. A","Clasifica la partida al Fondo de Incentivo para Gestión de Municipios (creación A19 L19272 18/12/2014) asignada por Ley de Presupuesto 19355 de 19/12/2015, en el Inciso 24 ""Diversos Créditos"" UE 002 ""Presidencia de la República"", que financiará la Gestión de dichos Municipios, según A760 L18719 27/12/2010. Dicho Fondo contará con una partida anual según lit. A) A676 L19355 19/12/2015.  Ley 20.446 art 618, lit A."
"514","083","Fondo de Incentivo Gestión de Municipios-Comisión Sectorial","Clasifica la partida al Fondo de Incentivo para Gestión de Municipios (creación A19 L19272 18/12/2014) que financiará la Gestión de dichos Municipios-Comisión Sectorial, asignada por Ley de Presupuesto 19355 de 19/12/2015, en el Inciso 24 ""Diversos Créditos"" UE 002 ""Presidencia de la República"" (lit B inc.5 del A230 Constitución) Dicho Fondo contará con una partida anual según lit. B) A676 L19355 19/12/2015."
"514","084","Fondo de Incentivo Gestión de Municipios - Lit C","Clasifica la partida al Fondo de Incentivo para Gestión de Municipios (creación A19 L19272 18/12/2014) que financiará la Gestión de dichos Municipios-Compromisos de Gestión, asignada por Ley de Presupuesto 19355 de 19/12/2015, en el Inciso 24 ""Diversos Créditos"" UE 002 ""Presidencia de la República"" a partir del ejercicio 2017. (lit B inc.5 del A230 Constitución). Dicho Fondo contará con una partida anual según lit. C) A676 L19355 19/12/2015. Art 618 lit C, Ley 20.446."
"514","085","Fdo.Incentivo Gestión de Municipios Comprom de Gestión lit D","Clasifica la partida al Fondo de Incentivo para Gestión de Municipios (creación A19 L19272 18/12/2014) que financiará la Gestión de dichos Municipios-Compromisos de Gestión, asignada por Ley de Presupuesto 19355 de 19/12/2015, en el Inciso 24 ""Diversos Créditos"" UE 002 ""Presidencia de la República"" a partir del ejercicio 2017. (lit B inc.5 del A230 Constitución). Dicho Fondo contará con una partida anual según lit. D Ley Pto 2020-2024"
"514","100","Convenios de la Administración a Gobiernos Departamentales","A partir de este auxiliar se clasifican las transferencias por Convenios de la Administración Central a los Gobiernos Departamentales."
"514","101","Convenios del MVOTMA con varias Intendencias Municipales","El Inciso 14 ""MVOTMA"" realiza convenios con varias Intendencias Municipales para estudios de territorialidad. UE 003 Prog.380 Proy 301""Implementación del Ordenamiento Territorial Nacional"""
"514","120","A Gobiernos Departamentales Programa Oportunidad Laboral","Ley 20048 Crea la fase II del Programa ""Oportunidad Laboral"" con el objeto y las  condiciones previstas en la Ley N° 19.952.
Las erogaciones serán atendidas con cargo a la partida dispuesta por el artículo 41 de la Ley N° 17.930 Refuerzo de Rubro, en el Inciso 24, U.E 024 Programa 492 Financiación 1.1 Rentas Generales."
"514","122","A Gob. Dptal. Artigas-Prog. oportunidad laboral COVID-19","Ley 19.952 Créase el Programa ""Oportunidad Laboral"" Los beneficiarios percibirán la prestación transitoria dentro de los primeros diez días siguientes de ejecutado su trabajo en cada mes, por un monto máximo mensual nominal equivalente a $ 12.500. Serán atendidas con cargo al Fondo Solidario COVID-19."
"514","123","A Gob. Dptal. Canelones-Prog. oportunidad laboral COVID-19","Ley 19.952 Créase el Programa ""Oportunidad Laboral"" Los beneficiarios percibirán la prestación transitoria dentro de los primeros diez días siguientes de ejecutado su trabajo en cada mes, por un monto máximo mensual nominal equivalente a $ 12.500. Serán atendidas con cargo al Fondo Solidario COVID-19."
"514","124","A Gob. Dptal. Cerro Largo-Prog. oportunidad laboral COVID-19","Ley 19.952 Créase el Programa ""Oportunidad Laboral"" Los beneficiarios percibirán la prestación transitoria dentro de los primeros diez días siguientes de ejecutado su trabajo en cada mes, por un monto máximo mensual nominal equivalente a $ 12.500. Serán atendidas con cargo al Fondo Solidario COVID-19."
"514","125","A Gob. Dptal. Colonia-Prog. oportunidad laboral COVID-19","Ley 19.952 Créase el Programa ""Oportunidad Laboral"" Los beneficiarios percibirán la prestación transitoria dentro de los primeros diez días siguientes de ejecutado su trabajo en cada mes, por un monto máximo mensual nominal equivalente a $ 12.500. Serán atendidas con cargo al Fondo Solidario COVID-19."
"514","126","A Gob. Dptal. Durazno-Prog. oportunidad laboral COVID-19","Ley 19.952 Créase el Programa ""Oportunidad Laboral"" Los beneficiarios percibirán la prestación transitoria dentro de los primeros diez días siguientes de ejecutado su trabajo en cada mes, por un monto máximo mensual nominal equivalente a $ 12.500. Serán atendidas con cargo al Fondo Solidario COVID-19."
"514","127","A Gob. Dptal. Flores-Prog. oportunidad laboral COVID-19","Ley 19.952 Créase el Programa ""Oportunidad Laboral"" Los beneficiarios percibirán la prestación transitoria dentro de los primeros diez días siguientes de ejecutado su trabajo en cada mes, por un monto máximo mensual nominal equivalente a $ 12.500. Serán atendidas con cargo al Fondo Solidario COVID-19."
"514","128","A Gob. Dptal. Florida-Prog. oportunidad laboral COVID-19","Ley 19.952 Créase el Programa ""Oportunidad Laboral"" Los beneficiarios percibirán la prestación transitoria dentro de los primeros diez días siguientes de ejecutado su trabajo en cada mes, por un monto máximo mensual nominal equivalente a $ 12.500. Serán atendidas con cargo al Fondo Solidario COVID-19."
